3.160,3.630,7.720,1.000
7.740,8.480,9.460,2.000
7.230,8.400,8.580,2.000
3.820,5.730,9.950,1.000
3.070,6.100,6.830,0.000
4.280,6.490,9.980,1.000
3.260,4.110,9.140,1.000
7.110,8.690,8.810,2.000
8.850,9.060,9.750,2.000
7.290,9.590,9.730,2.000
7.820,8.670,9.210,2.000
3.180,5.470,6.330,0.000
4.380,6.470,7.810,0.000
5.740,6.270,8.500,0.000
3.740,8.320,9.120,0.000
5.520,5.770,7.990,0.000
4.270,5.040,9.790,1.000
3.670,8.910,9.640,0.000
3.140,5.500,9.990,1.000
4.380,5.050,8.800,1.000
3.000,4.370,8.060,1.000
3.470,3.930,9.790,1.000
3.080,3.630,9.010,1.000
6.840,7.410,7.960,2.000
6.690,7.090,9.750,0.000
5.100,5.270,7.340,0.000
4.700,4.760,9.070,1.000
3.340,5.880,6.760,0.000
6.790,7.320,7.780,2.000
3.200,4.260,8.900,1.000
3.530,5.780,9.920,1.000
3.000,7.270,7.870,0.000
6.930,7.170,9.970,0.000
6.570,7.060,7.220,2.000
7.420,8.460,8.960,2.000
7.060,7.480,7.730,2.000
7.970,8.310,8.730,2.000
3.210,5.390,6.270,0.000
3.470,3.520,7.670,1.000
3.020,3.850,4.890,0.000
4.190,6.620,7.830,0.000
5.780,7.930,9.810,0.000
4.170,4.310,6.000,0.000
4.510,7.670,8.900,0.000
3.880,6.540,7.600,0.000
3.640,9.240,9.930,0.000
3.560,5.810,6.810,0.000
7.560,8.090,8.150,2.000
5.550,8.080,9.800,0.000
8.030,9.040,9.520,2.000
3.920,5.400,6.680,0.000
7.140,8.800,8.920,2.000
3.510,7.080,9.990,1.000
7.080,7.190,7.520,2.000
8.520,9.160,9.650,2.000
4.090,5.760,9.520,1.000
3.120,8.700,9.240,0.000
3.400,5.270,9.220,1.000
6.110,7.150,9.410,0.000
3.590,5.860,9.960,1.000
3.740,4.180,9.410,1.000
7.430,8.550,9.140,2.000
7.960,9.380,9.760,2.000
3.330,3.740,9.170,1.000
3.170,7.890,8.500,0.000
4.300,6.180,9.880,1.000
3.290,5.050,9.950,1.000
3.380,4.390,8.770,1.000
7.930,9.580,9.750,2.000
3.430,8.100,8.800,0.000
8.710,8.810,10.000,2.000
5.160,8.120,9.620,0.000
4.650,6.590,8.060,0.000
3.200,6.160,10.000,1.000
6.630,7.010,7.600,2.000
3.940,6.170,9.770,1.000
3.160,8.560,9.120,0.000
3.800,4.970,8.590,1.000
3.730,4.120,8.330,1.000
4.080,5.920,9.970,1.000
3.130,6.050,9.190,1.000
3.200,7.100,7.790,0.000
4.050,4.730,8.530,1.000
7.450,7.770,8.300,2.000
4.200,5.310,8.870,1.000
5.320,7.810,9.450,0.000
3.150,4.990,8.470,1.000
7.010,7.450,8.170,2.000
4.980,5.280,7.260,0.000
4.700,8.590,9.790,0.000
3.770,6.080,9.840,1.000
3.220,6.670,9.730,1.000
6.770,7.370,7.780,2.000
7.830,8.470,8.980,2.000
8.700,8.810,9.780,2.000
4.350,4.950,8.920,1.000
5.910,7.490,9.540,0.000
6.670,7.300,7.640,2.000
4.140,5.110,9.720,1.000
3.110,4.070,5.130,0.000
4.260,6.640,7.890,0.000
3.670,5.310,9.390,1.000
